Sno,Artist,Title,BPM,Link
1,Queen,We Will Rock You,81,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/01-We Will Rock You.mp3'
2,Queen,We Are The Champions,132,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/02-We Are The Champions.mp3'
3,Queen,Another One Bites The Dust,110,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/03-Another One Bites The Dust.mp3'
4,Queen,Killer Queen,117,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/04-Killer Queen.mp3'
5,Queen,Somebody To Love,110,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/05-Somebody To Love.mp3'
6,Queen,Fat Bottomed Girls,92,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/06-Fat Bottomed Girls.mp3'
7,Queen,Bicycle Race,83,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/07-Bicycle Race.mp3'
8,Queen,You're My Best Friend,118,"https://tanvimishra.github.io/PUFY1225-Digital_Craft/08-You're My Best Friend.mp3"
9,Queen,Crazy Little Thing Called Love,154,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/09-Crazy Little Thing Called Love.mp3'
10,Queen,Now I'm Here,132,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/10-Now I'm Here.mp3'
11,Queen,Play The Game,78,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/11-Play The Game.mp3'
12,Queen,Seven Seas Of Rhye,120,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/12-Seven Seas Of Rhye.mp3'
13,Queen,Body Language,132,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/13-Body Language.mp3'
14,Queen,Save Me,81,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/14-Save Me.mp3'
15,Queen,Don't Stop Me Now,156,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/15-Don't Stop Me Now.mp3'
16,Queen,Good Old Fashioned Lover Boy,96,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/16-Good Old Fashioned Lover Boy.mp3'
17,Queen,I Want To Break Free,109,'https://tanvimishra.github.io/PUFY1225-Digital_Craft/17-I Want To Break Free.mp3'
